solved;AADPOR_EXPL.ConcurrencySafety;AADPOR_PRED.ConcurrencySafety;AASPOR_EXPL.ConcurrencySafety;AASPOR_PRED.ConcurrencySafety;DPOR_EXPL.ConcurrencySafety;DPOR_PRED.ConcurrencySafety;SPOR_EXPL.ConcurrencySafety;SPOR_PRED.ConcurrencySafety
0;3,80;3,99;3,57;3,99;4,08;3,73;3,83;4,21
1;4,43;4,22;4,25;4,33;4,43;4,35;4,22;4,23
2;4,49;4,53;4,29;4,40;4,45;4,61;4,31;4,28
3;4,59;4,62;4,35;4,44;4,54;4,66;4,39;4,44
4;4,64;4,71;4,36;4,54;4,57;4,69;4,47;4,48
5;4,65;4,72;4,39;4,57;4,59;4,72;4,49;4,50
6;4,67;4,73;4,42;4,62;4,64;4,74;4,50;4,52
7;4,67;4,75;4,47;4,63;4,64;4,75;4,55;4,53
8;4,68;4,75;4,51;4,67;4,74;4,78;4,59;4,66
9;4,70;4,83;4,53;4,69;4,75;4,78;4,62;4,67
10;4,73;4,94;4,59;4,69;4,76;4,78;4,64;4,68
11;4,73;4,99;4,66;4,72;4,80;4,85;4,68;4,69
12;4,79;5,00;4,69;4,75;4,83;4,87;4,70;4,71
13;4,80;5,01;4,70;4,82;4,83;4,89;4,73;4,74
14;4,82;5,03;4,71;4,88;4,84;4,89;4,76;4,74
15;5,02;5,06;4,76;4,94;4,90;4,93;4,79;4,75
16;5,03;5,09;4,80;4,94;4,92;4,94;4,79;4,81
17;5,07;5,11;4,82;4,96;4,94;4,98;4,79;4,84
18;5,11;5,11;4,82;4,97;5,03;4,99;4,81;4,84
19;5,19;5,14;4,82;4,98;5,04;5,01;4,81;4,87
20;5,24;5,21;4,83;5,00;5,07;5,02;4,82;4,90
21;5,24;5,22;4,88;5,00;5,10;5,03;4,82;4,96
22;5,25;5,28;4,89;5,01;5,12;5,04;4,88;4,96
23;5,29;5,31;4,91;5,04;5,14;5,05;4,89;4,97
24;5,36;5,37;4,92;5,05;5,16;5,06;4,91;4,98
25;5,38;5,40;4,96;5,06;5,24;5,08;4,97;4,99
26;5,40;5,45;4,99;5,09;5,27;5,09;4,99;5,03
27;5,42;5,47;5,00;5,11;5,40;5,12;5,00;5,04
28;5,45;5,48;5,01;5,14;5,42;5,13;5,02;5,05
29;5,50;5,51;5,03;5,16;5,48;5,16;5,04;5,08
30;5,55;5,60;5,03;5,16;5,51;5,19;5,05;5,11
